contract_id,summary,termination_clause,confidentiality_clause,liability_clause,error
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,"The purpose of this co-branding agreement is to establish a business relationship among the parties, including Skype, Online BVI, and Tom Holding, to create, market, and distribute a customized version of the Skype software in the PRC. The key obligations of each party include granting rights to provide co-marketing and co-branding activities and expanding their business relationship. Notable risks or penalties are not explicitly stated in the provided excerpt, but the agreement does define terms such as ""Indemnified Party"" and ""Indemnifying Party"", suggesting that liability and indemnification provisions may be included in the full agreement.","years, unless a party to this Agreement provides written notice of termination to the other parties at least sixty (60) days prior to the expiration of the Initial Term or this Agreement... 6.2 Termination for Cause. Any party to this Agreement shall have the right to terminate this Agreement during the Term by giving notice to another party to this Agreement or to any party that is not an Affiliate of the terminating party","11.1 Each party to this Agreement acknowledges and agrees that by reason of its relationship to the other parties to this Agreement it will have access to and acquire knowledge from, material, data, systems and other information concerning the operation, business, financial affairs, products, customers and intellectual property of the other parties to this Agreement that may not be accessible or known to the general public, including, but not limited to the terms of this Agreement ( “Confidential Information”). The parties to this Agreement agree that Confidential Information shall remain the sole and exclusive property of the disclosing party ( “Disclosing Party” ), and the receiving party ( “Receiving Party”) agrees to maintain the Confidential Information in strict confidence and to use Confidential Information solely for the purposes set forth in this Agreement.","12.2.1 TO THE MAXIMUM EXTENT PERMISSIBLE UNDER APPLICABLE LAW, EXCEPT FOR THE WILFUL MISAPPROPRIATION OR INFRINGEMENT OF THE INTELLECTUAL PROPERTY OF A PARTY TO THIS AGREEMENT, OR THE OBLIGATIONS OF THE PARTIES TO THIS AGREEMENT PURSUANT TO SECTION 13, (A) THE LIABILITY OF ANY PARTY TO THIS AGREEMENT, IF ANY, FOR DAMAGES FOR ANY CLAIM OF ANY KIND WHATSOEVER AND REGARDLESS OF THE LEGAL THEORY, WITH REGARD TO THE RIGHTS GRANTED HEREUNDER OR THE SERVICES PERFORMED HEREUNDER, SHALL NOT INCLUDE COMPENSATION, REIMBURSEMENT OR DAMAGES ON ACCOUNT OF THE LOSS OF PRESENT OR PROSPECTIVE PROFITS, EXPENDITURES, DATA, OPPORTUNITY, ANTICIPATED SAVINGS, INVESTMENTS OR COMMITMENTS, WHETHER MADE IN ESTABLISHMENT, DEVELOPMENT OR MAINTENANCE OF REPUTATION OR GOODWILL OR FOR ANY OTHER REASON WHATSOEVER; AND (B) IN NO EVENT SHALL ANY PARTY TO THIS AGREEMENT BE LIABLE TO THE OTHER PARTIES TO THIS AGREEMENT FOR SPECIAL, INDIRECT, CONSEQUENTIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES.",
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,"The Joint Development Agreement between FuelCell Energy, Inc. and ExxonMobil Research and Engineering Company aims to collaborate on research and development projects to evaluate and develop Molten Carbonate Fuel Cells for reducing carbon dioxide emissions. ExxonMobil and FuelCell Energy will work together on mutually agreed upon projects, with FuelCell Energy restricted from conducting certain work independently without ExxonMobil's approval. The parties will establish a Steering Committee to oversee the program, and each party will bear its own costs associated with participation. The agreement also includes confidentiality and restricted use provisions, requiring the parties to hold each other's information in confidence for 20 years.","12.02 Early Termination. The Parties recognize that circumstances may arise where this Agreement’s early termination would be desirable. Accordingly, either Party may terminate this Agreement or all/part of a Project for any reason and at any time upon giving the other Party sixty (60) days prior written notice. ... 12.03 Failure to Perform. If ExxonMobil fails to fulfill a material monetary obligation or FCE fails to execute material tasks or obligations in material compliance with all criteria set forth in a respective mutually agreed upon Project Description, in the time and manner required herein, provided that in the case of FCE’ s tasks or obligations any non-compliance or delay in meeting said criteria is not due to ExxonMobil or force majeure pursuant to Paragraph 15.01 (Force Majeure), the non-defaulting Party may give written notice of intent to terminate this Agreement, specifying the details of such default. Unless the defaulting Party has remedied such default within the Cure Period, this Agreement may be terminated, without penalty, payment or prejudice to claims then accrued, by written notice to the defaulting Party by the non-defaulting Party specifying the date of termination which will be of immediate effect.","4.04 Information Handling Obligations. Each Party will endeavor to mark Confidential Information as follows: (a) Confidential Information first disclosed in tangible form or electronically will be marked by the Disclosing Party as “confidential” or “proprietary” or with words of similar import when provided, indicating whether the information is “Program Information” or “Background Information”; (b) Confidential Information first disclosed orally or by visual display will be identified by the Disclosing Party as “confidential” or “proprietary” or with words of similar import at first disclosure and subsequently confirmed as confidential in a summary provided in an e-mail or other written communication delivered to the other Party within thirty (30) days after first disclosure, that references the date of the confidential disclosure indicating whether the information is “Program Information” or “Background Information”; and (c) If a Sample is sent to the other Party, the Sample will be marked by the Disclosing Party as “confidential” or “proprietary” or with words of similar import at the time of disclosure indicating whether the Sample is “Program Information” or “Background Information”. 4.05 Exceptions. For the purposes of this Agreement, the obligations of confidentiality and restricted use herein shall not apply to any information or materials to the extent the Receiving Party can establish by documentary evidence that one or more of the following exceptions apply: a. the information or material was already in the Receiving Party’s or its Affiliate’s lawful possession (free of any confidentiality and use restrictions) and was not previously acquired directly or indirectly from the other Party under a current obligation of confidentiality; b. the information or material was already in the public domain or subsequently entered the public domain after disclosure through no fault of the Receiving Party; c. the information or material was or is hereafter furnished to the Receiving Party, or its Affiliate, on a nonconfidential basis by a third party legally entitled to provide the information or material without restriction; d. the information or material was independently developed by employees or agents of the Receiving Party or its Affiliate who did not have access to relevant information provided by the Disclosing Party; and/or e. the information or material was released from the confidentiality obligations of this Agreement by the Disclosing Party’s written authorization.","TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, DISCLOSING PARTY DISCLAIMS LIABILITY FOR ANY LOSS OR DAMAGE SUSTAINED BY RECEIVING PARTY (BUT NOT ANY THIRD PARTY) THAT MAY OCCUR FROM RECEIVING PARTY’S USE OF, OR RELIANCE ON, SUCH INFORMATION AND MATERIALS AND RECEIVING PARTY RELEASES DISCLOSING PARTY AND ITS AFFILIATES FROM AND FOR ANY SUCH LIABILITY, LOSS OR DAMAGE, EVEN IF CAUSED BY DISCLOSING PARTY’S OR ITS AFFILIATES’ NEGLIGENCE EXCEPT AS PROVIDED IN PARAGRAPH 11.04 (EXCEPTIONS TO LIMITATIONS ON LIABILITY). 11.03 Indirect or Enhanced Damages . In no event will either Party be liable to the other Party under this Agreement for any consequential, indirect, special, incidental, punitive or exemplary loss or damage, including, without limitation, business interruption, cost of capital, loss of anticipated revenues and profits, loss of goodwill or increased operating costs, whether arising from contract, warranty, tort, strict liability or otherwise regardless of whether the possibility of such losses or damages have been made known to the first Party, and each Party hereby expressly waives all such rights and remedies, except for breach of any confidentiality or restricted use provisions of this Agreement and except as provided in Paragraph 11.04 (Exceptions to Limitations of Liability).",
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement,"This License and Development Agreement is between Bioeq IP AG and Coherus Biosciences, Inc. for the commercialization of Ranibizumab biosimilar products in the US. Bioeq grants an exclusive license to Coherus in exchange for upfront, milestone, and royalty payments. Coherus must use commercially reasonable efforts to commercialize the products. The agreement includes provisions for development, regulatory activities, manufacturing, and commercialization. Notable risks include termination penalties and liability caps, although specific details are excluded from the publicly available document. The parties are obligated to maintain confidentiality and comply with applicable laws and regulations.",15.2.1 Termination for Breach. Either Party may terminate this Agreement upon material breach of any obligation under this Agreement by the other Party provided that such breach (if curable) is not cured within thirty (30) days following the receipt of written notice thereof by the non-breaching Party.,"11.1 Obligation of Confidentiality. As of and after the Effective Date, all Confidential Information disclosed, revealed or otherwise made available to one Party (Receiving Party) by or on behalf of the other Party (Disclosing Party) under, or as a result of, this Agreement is made available to the Receiving Party solely to permit the Receiving Party to exercise its rights, and perform its obligations, under this Agreement. The Receiving Party shall not use any of the Disclosing Party’s Confidential Information for any other purpose, and shall not disclose, reveal or otherwise make any of the Disclosing Party’s Confidential Information available to any other person, firm, corporation or other entity, without the prior written authorization of the Disclosing Party, except as explicitly stated in this Agreement.","Except for a breach of Section 11 (“Confidentiality”), and without limiting a Party’s indemnification obligations hereunder, in no event shall either Party be liable to the other Party in any manner for any special, non-compensatory, consequential, indirect, incidental, statutory or punitive damages of any kind, including lost profits and lost revenue, regardless of the form of action, whether in contract, tort, product liability or otherwise, even if informed of or aware of the possibility of any such damages in advance, except to the extent that such limitation of liability is contrary to the Applicable Law or any such special, non-compensatory, consequential, indirect, incidental, statutory or punitive damages have been awarded to a Third Party under a Third Party Claim.",
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,"The Co-Branding Agreement between VerticalNet and PaperExchange aims to establish a partnership for co-branded career centers and equipment listings. VerticalNet is responsible for designing, hosting, and maintaining the co-branded sites, while PaperExchange provides relevant content. PaperExchange grants VerticalNet an exclusive license to use and modify the content. The parties agree to register co-branded URLs and place links on their respective sites. The agreement outlines the terms of the partnership, including the initial term and potential renewal terms, but does not specify notable risks or penalties, as this information is not provided in the given excerpt.","Either party may terminate this Agreement immediately upon written notice to the other party in the event any material breach of a material term of this Agreement by such other party that remains uncured 30 days in the case of a breach of a payment obligation, or 45 days for all other breaches, after notice of such breach was received by such other party","10.1. Confidentiality Obligations. Except as permitted elsewhere under this Agreement, each party agrees to take Reasonable Steps ... to protect the confidentiality of such Confidential Information . Neither party hereto shall use all or any part of the Confidential Information of the other party for any purpose other than to perform its obligations under this Agreement.","EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 10, THE INDEMNIFICATION OBLIGATIONS OF PAPEREXCHANGE UNDER SECTION 12.4(c) [Indemnification by PaperExchange] AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 12.5(c) [Indemnification by VerticalNet] , NEITHER PARTY WILL BE LIABLE FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY OR INCIDENTAL DAMAGES ARISING OUT OF OR RELATED TO THIS AGREEMENT, HOWEVER CAUSED AND UNDER ANY THEORY OF LIABILITY (INCLUDING NEGLIGENCE), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. EXCEPT IN CONNECTION WITH A BREACH BY EITHER PARTY OF ARTICLE 10, THE INDEMNIFICATION OBLIGATIONS OF PAPEREXCHANGE UNDER SECTION 12.4(c) [Indemnification by PaperExchange] AND THE INDEMNIFICATION OBLIGATIONS OF VERTICALNET UNDER SECTION 12.5(c) [Indemnification by VerticalNet] , EACH PARTY'S LIABILITY FOR DAMAGES HEREUNDER SHALL NOT EXCEED $1,000,000.",
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement,"This Distribution and Development Agreement is between Sekisui Diagnostics and Qualigen, where Qualigen appoints Sekisui as its exclusive distributor for certain clinical rapid diagnostic test devices in a defined territory. Sekisui will purchase products exclusively from Qualigen, and Qualigen will supply products exclusively to Sekisui. The agreement has a five-year term, with automatic one-year extensions unless terminated. Qualigen retains ownership of instruments placed with customers before the agreement and can continue selling to retained customers directly. The parties must comply with regulatory approvals and maintain necessary records.","14.1. Termination by Either Party. Either Party may terminate this Agreement (i) immediately upon written notice in the event of the closing of a Sale Transaction; or (ii) immediately upon written notice if the other files a voluntary bankruptcy petition or makes a general assignment for the benefit of creditors or becomes subject to any order for relief or involuntary bankruptcy petition under any bankruptcy, liquidation, insolvency or similar law which is not dismissed within 60 days. 14.2. Termination by Qualigen . Qualigen may terminate this Agreement (i) upon thirty (30) days prior written notice in the event of any failure of Sekisui to make a Financing Payment that is determined to be due, which failure is not cured within such 30 day period, or (ii) upon sixty (60) days prior written notice in the event of any material breach of the diligence obligations (which is understood not to include failing to meet forecasts for sales to customers) set forth in the Business Plan (as it may be amended by the Parties from time to time), which breach is not cured within such 60 day period. 14.3. Termination by Sekisui. Sekisui may terminate this Agreement upon prior written notice (i) in the event of any failure of Qualigen to meet a milestone set forth in the Development Plan (as it may be amended by the Parties from time to time), or (ii) at any other time upon ninety (90) days’ prior written notice of impending termination.","13.1. Confidentiality Obligation. It is contemplated that in the course of the performance of this Agreement each Party may, from time to time, disclose proprietary and confidential information to the other (“ Confidential Information ”). Except to the extent expressly authorized by this Agreement or otherwise agreed to in writing, during the Term and for a period of five (5) years following the expiration or termination of this Agreement, the receiving Party shall disclose the other Party’s Confidential Information only to its own (or its Affiliates’) officers, employees, consultants, Third Party service providers, attorneys, accountants, agents, bankers, lenders, prospective lenders and prospective equity investors, and in each case only if and to the extent necessary to carry out their respective responsibilities under this Agreement or in accordance with the exercise of their rights under this Agreement or in accordance with customary permitted practice (such as to seek or maintain financing or credit), and such disclosure shall be limited to the maximum extent possible consistent with such responsibilities and rights. Except as set forth in the foregoing sentence, neither Party shall disclose Confidential Information of the other to any Third Party without the other’s prior written consent.","incidental, special, indirect and consequential damages and lost profits, lost savings and interruptions of business are expressly excluded therefrom and from such defined term",
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,"The Co-Branding Agreement between theglobe.com and The Boxlot Company aims to co-brand a service, with theglobe having sole control over the service's look and feel. Theglobe is responsible for delivering page templates and materials, while Boxlot develops the co-branded pages and provides content. Boxlot must obtain theglobe's approval before making changes to the service or co-branded pages. Theglobe has sole control over advertising inventory, and Boxlot must implement ad serving code provided by theglobe. Failure to comply with certain terms, such as nonconformance with content frequency, may result in immediate termination.",Clause Not Present,Clause Not Present,Clause Not Present,
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,"The Chase Affiliate Agreement sets forth terms between Chase and an Affiliate participating in the Chase Affiliate Program. The Affiliate earns a referral fee for each approved credit card account originating from their website. Chase reserves the right to accept or reject Affiliate registration and terminate the agreement if the Affiliate's site incorporates restricted content or violates intellectual property rights. The Affiliate is responsible for ensuring proper link formatting and maintenance, while Chase tracks approved accounts and provides statements. Either party can terminate the agreement with written notice, and Chase may alter referral fees upon notice to the Affiliate.","Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination. Notwithstanding the foregoing, Chase may terminate this Agreement if Affiliate does not comply with the terms and conditions herein. Chase also reserves the right to terminate this Agreement in the event that any Restricted Content is incorporated on Affiliate’s site after acceptance of your registration form and the commencement of the term of this Agreement.","Except as otherwise provided in this Agreement or with the consent of the other party hereto, each of the parties hereto agrees that all information including, without limitation, the terms of this Agreement, business and financial information, customer and vendor lists, and pricing and sales information, concerning Chase, Customer or Affiliate shall remain strictly confidential and secret and shall not be utilized, directly or indirectly, by such party for its own business purposes or for any other purpose except and solely to the extent necessary to exercise rights and perform obligations under this Agreement. The foregoing restrictions will not apply to information to the extent it (i) was known to the receiving party at the time of disclosure; (ii) has become publicly known through no wrongful act of the receiving party; (iii) has been rightfully received from a third party under no obligation to the disclosing party; (iv) has been disclosed by court order or as otherwise required by law if the receiving party has given the disclosing party a reasonable opportunity to contest or limit the scope of such required disclosure.",Clause Not Present,
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement,"The Manifest System Services and Co-Branding Agreement is between iShip.com, Inc. and Mail Boxes Etc. USA, Inc. to provide an internet-based shipping system to Mail Boxes Etc. centers. iShip.com will develop and deliver the system, while Mail Boxes Etc. will provide assistance and inspect the system for conformance to specifications. The companies will also engage in co-branding activities. The agreement outlines the terms and conditions for the provision of the service, including the scope of the agreement, acceptance, and warranties. Notable risks include the potential for nonconformance to specifications and the need for correction of problems after acceptance.",Clause Not Present,"(b) Confidentiality. Each party shall treat as confidential all Confidential Information of the other party, shall not use such Confidential Information except as set forth in this Agreement, and shall use reasonable efforts not to disclose such Confidential Information to any third party. Without limiting the foregoing, each of the parties shall use at least the same degree of care which it uses to prevent the disclosure of its own confidential information of like importance to prevent the disclosure of Confidential Information disclosed to it by the other party under this Agreement.",Clause Not Present,
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement,"The Outsource Technology Development Agreement is between Document Security Systems and HotApp International Ltd. for the development of an Android software application. DSS grants Developer a non-exclusive license to use its technology for development purposes. Developer must pay $23,000 per month for the term of the agreement, which can be terminated with 30 days' notice. Upon termination, Developer must cease use of DSS's technology and deliver all proprietary files. DSS retains ownership of its technology and intellectual property, and Developer assigns all rights to improvements to DSS. Developer is liable for damages resulting from unauthorized use of DSS's technology.","2.2.1. Either party may terminate this Agreement prior to expiration of the Term: (i) upon thirty (30) days prior written notice, or (ii) immediately upon written notice to the other party if: (a) the other party declares or a petition is filed in any court for insolvency or bankruptcy and such petition is not dismissed in thirty (30) days; (b) the other party reorganizes under the relevant bankruptcy act or any similar statute in such party’s jurisdiction of incorporation; (c) the other party consents to the appointment of a trustee in bankruptcy or a receiver or similar entity; or (d) the Developer breaches DSS’s Technology or Intellectual Property rights contained herein.","5. Confidentiality; Non-Disclosure . The parties acknowledge that they have entered into that certain Mutual Non-Disclosure Agreement dated as of January 18, 2018 (the “NDA”), a copy of which is attached hereto as Exhibit A. The terms of the NDA shall be deemed to be incorporated by reference into this Agreement, mutatis mutandis. During the Term of this Agreement and thereafter for a period of five (5) years, the parties shall be bound by all of the protective terms and conditions of the NDA.","6.1. Developer Liability for Damages. Developer shall be fully liable, without limitation, for money damages resulting from its improper or unauthorized use, modification, alteration, licensing or transfer of the Technology or Improvements, or resulting from its failure to provide functional and merchantable Improvements hereunder, which failure shall be deemed a material breach of this Agreement by Developer.",
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,"The purpose of this co-branding agreement is for NETTAXI and SpinRecords.com to co-brand their services. NETTAXI and SpinRecords.com are obligated to brand each other's pages with their respective brand features and use reasonable commercial efforts to market each other's brand. The agreement includes licenses for the use of each other's brand features and intellectual property rights. Notably, the agreement disclaims all warranties, including those of quality, performance, and fitness for a particular purpose, and the parties must treat the terms and conditions of the agreement as confidential information.","8.2 Convenience. NETTAXI may terminate this Agreement at any time for its convenience, for no reason or for any reason, upon sixty (60) days prior written notice to SpinRecords.com. In the event of such termination, Spinrecords.com shall be entitled to receive and retain all payments made or payable by NETTAXI prior to the date of termination. SpinRecords.com may terminate this Agreement for no reason or for any reason upon sixty (60) days prior written notice to NETTAXI. 8.3 Termination for Cause. This Agreement may be terminated by a party for cause immediately upon the occurrence of and in accordance with the following: (a) Insolvency Event. Either may terminate this Agreement by delivering written notice to the other party upon the occurrence of any of the following events: (i) a receiver is appointed for either party or its property; (ii) either makes a general assignment for the benefit of its creditors; (iii) either party commences, or has commenced against it, proceedings under any bankruptcy, insolvency or debtor's relief law, which proceedings are not dismissed within sixty (60) days; or (iv) either party is liquidated or dissolved. (b) Change of Control. In the event more that there is a change in ownership representing fifty percent (50%) or more of the equity ownership of either party, the other party may, at its option, terminate this Agreement upon written notice. (c) Default. Either party may terminate this Agreement effective upon written notice to the other if the other party violates any covenant, agreement, representation or warranty contained herein in any material respect or defaults or fails to perform any of its obligations or agreements hereunder in any material respect, which violation, default or failure is not cured within thirty (30) days after notice thereof from the non-defaulting party stating its intention to terminate this Agreement by reason thereof.","6.1 Agreement as Confidential Information. The parties shall treat the terms and conditions and the existence of this Agreement as Confidential Information. Each party shall obtain the other's consent prior to any publication, presentation, public announcement or press release concerning the existence or terms and conditions of this Agreement. 6.2 Confidential Information. ""Confidential Information"" means all information identified in written or oral format by the Disclosing Party as confidential, trade secret or proprietary information, and, if disclosed orally, summarized in written format within thirty (30) days of disclosure.",Clause Not Present,
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement,"The License and Development Agreement is between NLS-1 Pharma AG and Eurofarma Laboratórios S.A. for the development and commercialization of Nolazol (Mazindol CR) in Latin America for ADHD treatment. NLS grants Eurofarma an exclusive license to register, import, and sell the product, while Eurofarma is responsible for further development and commercialization. The agreement outlines payment terms, including upfront payments, milestone payments, and royalties. It also establishes a joint steering committee for cooperation and defines liability and termination provisions, including indemnities and confidentiality obligations.","If Licensee is the Breaching Party and fails to cure the default within sixty (60) calendar days upon receipt of the Notice of Default, the Licensor has the right to terminate this Agreement with immediate effect by written notice (“ Notice of Termination”) to the Breaching Party. If Licensor is the Breaching Party and fails to cure the default within sixty (60) calendar days upon receipt of the Notice of Default, the Licensee has the right to terminate this Agreement with immediate effect by written notice (“ Notice of Termination”) to the Breaching Party","18.1. Confidentiality Obligations a) Confidential Information shall mean any information that (i) is not publicly known (ii) has been imparted in circumstances in which the recipient ought reasonably to have known that the information had been imparted in confidence. This includes especially but not exclusively the information described in the clauses 18.1 b), c) and d). b) Each Party undertakes to maintain confidentiality as regards the execution and terms of this Agreement, and to abstain from disclosing the existence of this Agreement, its contents and all information provided to it by the other Party in connection with the negotiation of this Agreement without prior written approval of the other Party. c) The Licensee shall maintain confidentiality with regard to the Dossier and Know-how and any operations, processes, product information, product formulations, information regarding applications and submissions, know-how, designs, trade secrets, product plans, product development efforts, other commercial and product data, software, prototypes, samples and/or data sets related thereto, and any information or analysis derived from Confidential Information. For the avoidance of any doubt, the confidentiality of the Dossier and Know-how shall only apply to information that at the time of assessment is actually considered to be confidential, and not, under any circumstances, the information that lawfully is or has become available to the public. d) The Licensee shall protect any Know-how and any data as Confidential Information and shall not use the Know-how and data for any purpose except as expressly licensed hereby and in accordance with the provisions of this Agreement. Each Party (the “Receiving Party”) undertakes: (i.) to maintain as secret and confidential all Confidential Information obtained directly or indirectly from the other Party (the “Disclosing Party”) in the course of this Agreement and to respect the Disclosing Party’s rights therein; (ii.) to use such Confidential Information only for the purposes of this Agreement; and (iii.) to disclose such Confidential Information only to those of its employees, contractors, and sub-licensees pursuant to this Agreement (if any) to whom and to the extent that such disclosure is reasonably necessary for the purposes of this Agreement. 18.3. Survival of Confidentiality Obligations The confidentiality obligations provided in this Article shall survive any termination or expiry of this Agreement for period of ten (10) years.","Either Party shall only be liable for direct losses incurred by the other Party as a direct consequence of a negligent or intentional breach of this Agreement by such liable Party, and shall not be liable for any punitive or indirect damages, losses caused by business interruptions, loss of revenues, loss of profit, damages and loss of goodwill, or any reputational damages, and both Parties waive any claims to such losses. In addition, neither Party shall be liable for any claim under this Agreement which is capable of remedy, unless and until the other Party has given such Party written notice containing full details of the breach and such Party has failed to remedy the breach within sixty (60) days of receipt of the notice.",
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,"The purpose of this co-branding content agreement is for MediaLinx and HealthCentral.com to mutually develop and integrate content from HealthCentral.com into the Sympatico health section, known as the Co-Branded Site. MediaLinx is obligated to technically host and moderate discussion forums, promote the Co-Branded Site, and grant HealthCentral.com the right to use certain content and logos. HealthCentral.com must provide industry-accepted standards of reliability, integrate content, and host the Co-Branded Site. Notable risks include ensuring compliance with Canadian and US laws and regulations, and providing indemnity for transactions on the Co-Branded Site.",Clause Not Present,"16. CONFIDENTIALITY Each Party shall keep confidential any information, data and reports obtained in connection with this Agreement, unless such information has been rightfully obtained from a third party or is generally available to the public, or as must be disclosed by law. Upon termination of this Agreement, each of the parties (the ""Receiving Party"") shall return to the other party (the ""Disclosing Party"") any records or copies thereof which it may have obtained from the Disclosing Party in connection with its review of the Disclosing Party's business, other than information otherwise rightfully obtained by Receiving Party, acting in good faith, from someone other than the Disclosing Party or generally available to the public. Each party shall hold the terms and provisions of this Agreement confidential and shall not disclose its terms to any person except to its management. Notwithstanding the foregoing, this Agreement and the LOI is subject to the terms and conditions of the Confidentiality and Non-Disclosure Agreement signed between the Parties dated May 3rd, 1999.","EXCEPT WITH RESPECT TO THE INDEMNITY OBLIGATIONS IN SECTION 14, THE CONFIDENTIALITY OBLIGATIONS UNDER SECTION 16, AND THE YEAR 2000 COMPLIANCE OBLIGATIONS UNDER SECTION 20, NOTWITHSTANDING ANYTHING TO THE CONTRARY CONTAINED IN THIS AGREEMENT, UNDER NO CIRCUMSTANCES SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY WITH RESPECT TO THE SUBJECT MATTER OF THIS AGREEMENT UNDER ANY CONTRACT, NEGLIGENCE, STRICT LIABILITY, TORT OR OTHER LEGAL OR EQUITABLE THEORY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL OR EXEMPLARY DAMAGES (INCLUDING, WITHOUT LIMITATION, LOSS OF REVENUE OR GOODWILL OR ANTICIPATED PROFITS OR LOST BUSINESS), EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,"The agreement between ARCA U.S. TREASURY FUND and ARCA CAPITAL MANAGEMENT, LLC aims to provide blockchain administration and development services. The Blockchain Administrator will develop and administer ERC-1404 compatible digital securities and maintain smart contracts, while the Fund will pay a fee of 0.20% of its average annual net assets. The Fund bears all costs and expenses not assumed by the Blockchain Administrator. The Blockchain Administrator is not liable for actions taken in good faith, and the Fund will indemnify it against damages, except in cases of criminal conduct, willful misfeasance, or gross negligence.","This Agreement may be terminated at any time, without the payment of any penalty, upon 60 days' written notice, by the vote of a majority of the outstanding voting securities of the Fund or by the vote of the Fund's Trustees or by the Blockchain Administrator. ... This Agreement will automatically terminate in the event of its 'assignment' (as such term is defined for purposes of Section 15(a)(4) of the Investment Fund Act).","The parties hereto agree that each shall treat confidentially the terms and conditions of this Agreement and all information provided by each party to the other regarding its business and operations. All confidential information provided by a party hereto, including nonpublic personal information (regulated pursuant to Regulation S-P), shall be used by any other party hereto solely for the purpose of rendering services pursuant to this Agreement and, except as may be required in carrying out this Agreement, shall not be disclosed to any third party, without the prior consent of such providing party. The foregoing shall not be applicable to any information that is publicly available when provided or thereafter becomes publicly available other than through a breach of this Agreement, or that is required to be disclosed by any regulatory authority, any authority or legal counsel of the parties hereto, by judicial or administrative process or otherwise by applicable law or regulation.","The Blockchain Administrator (and its officers, managers, partners, agents, employees, controlling persons, members and any other person or entity affiliated with the Blockchain Administrator) shall not be liable to the Fund for any action taken or omitted to be taken by the Blockchain Administrator in connection with the performance of any of its duties or obligations under this Agreement or otherwise as blockchain administrator of the Fund, and the Fund shall indemnify, defend and protect the Blockchain Administrator (and its officers, managers, partners, agents, employees, controlling persons, members and any other person or entity affiliated with the Blockchain Administrator) (collectively, the ""Indemnified Parties"" ) and hold them harmless from and against all damages, liabilities, costs and expenses (including reasonable attorneys' fees and amounts reasonably paid in settlement) incurred by the Indemnified Parties in or by reason of any pending, threatened or completed action, suit, investigation or other proceeding (including an action or suit by or in the right of the Fund or its security holders) arising out of or otherwise based upon the performance of any of the Blockchain Administrator's duties or obligations under this Agreement or otherwise as administrator of the Fund.",
